reference_point,reference_x_m,reference_y_m,raw_side,surface
337,0.00562956200398,0.101651512269,lower,pressure
338,0.00594564472245,0.101421587965,lower,pressure
339,0.00626233624523,0.101192625401,lower,pressure
340,0.0065794159107,0.100964302185,lower,pressure
341,0.00689666305728,0.100736295924,lower,pressure
342,0.00721385702338,0.100508284227,lower,pressure
343,0.00753077714738,0.100279944702,lower,pressure
344,0.00784720276771,0.100050954956,lower,pressure
345,0.00816291322276,0.0998209925982,lower,pressure
346,0.00847768989636,0.0995897382799,lower,pressure
347,0.00879137692592,0.0993569660366,lower,pressure
348,0.00910394859264,0.0991226435713,lower,pressure
349,0.00941545241424,0.0988868475705,lower,pressure
350,0.00972593970928,0.0986496603763,lower,pressure
351,0.0100354617963,0.0984111643313,lower,pressure
352,0.0103440699938,0.0981714417777,lower,pressure
353,0.0106518156204,0.0979305750579,lower,pressure
354,0.0109587499947,0.0976886465144,lower,pressure
355,0.011264924435,0.0974457384894,lower,pressure
356,0.0115703902601,0.0972019333252,lower,pressure
357,0.0118751987884,0.0969573133644,lower,pressure
358,0.0121793968702,0.0967119543012,lower,pressure
359,0.0124830040952,0.0964658912719,lower,pressure
360,0.0127860100128,0.0962191147191,lower,pressure
361,0.0130883969212,0.0959716042964,lower,pressure
362,0.0133901471153,0.0957233396532,lower,pressure
363,0.0136912428901,0.0954743004388,lower,pressure
364,0.0139916665408,0.0952244663024,lower,pressure
365,0.0142914003623,0.0949738168934,lower,pressure
366,0.0145904266497,0.094722331861,lower,pressure
367,0.014888727698,0.0944699908546,lower,pressure
368,0.0151862858022,0.0942167735234,lower,pressure
369,0.0154830833382,0.0939626596401,lower,pressure
370,0.0157791063292,0.0937076345494,lower,pressure
371,0.0160743492602,0.0934516965218,lower,pressure
372,0.0163688118661,0.0931948518478,lower,pressure
373,0.0166624942367,0.0929371073598,lower,pressure
374,0.0169553964618,0.0926784698906,lower,pressure
375,0.0172475186312,0.0924189462727,lower,pressure
376,0.0175388608348,0.0921585433386,lower,pressure
377,0.0178294231623,0.0918972679209,lower,pressure
378,0.0181192057035,0.0916351268523,lower,pressure
379,0.0184082085484,0.0913721269653,lower,pressure
380,0.0186964317866,0.0911082750925,lower,pressure
381,0.0189838757241,0.0908435781527,lower,pressure
382,0.0192705422696,0.090578043705,lower,pressure
383,0.0195564352665,0.0903116800812,lower,pressure
384,0.019841559107,0.090044495832,lower,pressure
385,0.0201259181848,0.0897764995092,lower,pressure
386,0.0204095168937,0.0895076996641,lower,pressure
387,0.0206923596274,0.0892381048483,lower,pressure
388,0.0209744507796,0.0889677236134,lower,pressure
389,0.0212557947439,0.0886965645107,lower,pressure
390,0.0215363959141,0.0884246360919,lower,pressure
391,0.0218162586839,0.0881519469084,lower,pressure
392,0.022095387422,0.0878785054872,lower,pressure
393,0.0223737846555,0.087604318545,lower,pressure
394,0.0226514480817,0.0873293880499,lower,pressure
395,0.0229283721001,0.0870537127285,lower,pressure
396,0.0232045508263,0.0867772910284,lower,pressure
397,0.023479978376,0.0865001213969,lower,pressure
398,0.0237546488648,0.0862222022816,lower,pressure
399,0.0240285564084,0.08594353213,lower,pressure
400,0.0243016951226,0.0856641093894,lower,pressure
401,0.0245740591228,0.0853839325074,lower,pressure
402,0.0248456425249,0.0851029999315,lower,pressure
403,0.0251164394444,0.0848213101091,lower,pressure
404,0.0253864444621,0.084538861914,lower,pressure
405,0.0256556564251,0.0842556581311,lower,pressure
406,0.0259240798396,0.0839717067332,lower,pressure
407,0.0613811354357,0.0558579945372,upper,suction
408,0.0615053047068,0.0554875189622,upper,suction
409,0.061629399001,0.0551170182296,upper,suction
410,0.0617534201743,0.0547464929803,upper,suction
411,0.0618773700831,0.0543759438546,upper,suction
412,0.0620012505834,0.0540053714934,upper,suction
413,0.0621250634897,0.0536347765233,upper,suction
414,0.0622488095743,0.0532641592243,upper,suction
415,0.0623724875903,0.0528935192049,upper,suction
416,0.0624960952253,0.0525228557187,upper,suction
417,0.0626196301209,0.0521521680044,upper,suction
418,0.0627430899186,0.0517814553006,upper,suction
419,0.0628664722603,0.0514107168457,upper,suction
420,0.0629897747874,0.0510399518785,upper,suction
421,0.0631129951417,0.0506691596374,upper,suction
422,0.0632361309648,0.050298339361,upper,suction
423,0.0633591798983,0.0499274902878,upper,suction
424,0.0634821395838,0.0495566116565,upper,suction
425,0.0636050076631,0.0491857027056,upper,suction
426,0.0637277817777,0.0488147626737,upper,suction
427,0.0638504595693,0.0484437907993,upper,suction
428,0.0639730386795,0.048072786321,upper,suction
429,0.0640955168169,0.0477017484997,upper,suction
430,0.0642178925102,0.0473306768693,upper,suction
431,0.0643401655152,0.0469595713727,upper,suction
432,0.0644623360692,0.046588432113,upper,suction
433,0.0645844044169,0.0462172591958,upper,suction
434,0.064706370803,0.0458460527267,upper,suction
435,0.0648282354721,0.0454748128113,upper,suction
436,0.0649499986689,0.0451035395551,upper,suction
437,0.0650716606382,0.0447322330639,upper,suction
438,0.0651932216246,0.0443608934431,upper,suction
439,0.0653146818728,0.0439895207985,upper,suction
440,0.0654360416275,0.0436181152355,upper,suction
441,0.0655573011334,0.0432466768599,upper,suction
442,0.0656784606351,0.0428752057771,upper,suction
443,0.0657995203774,0.0425037020928,upper,suction
444,0.0659204806049,0.0421321659126,upper,suction
445,0.0660413413762,0.0417605972838,upper,suction
446,0.0661621014498,0.0413889958463,upper,suction
447,0.0662827580577,0.0410173607617,upper,suction
448,0.066403308019,0.0406456910622,upper,suction
449,0.0665237481519,0.0402739857798,upper,suction
450,0.0666440752747,0.0399022439464,upper,suction
451,0.0667642862055,0.039530464594,upper,suction
452,0.0668843777626,0.0391586467545,upper,suction
453,0.0670043467644,0.03878678946,upper,suction
454,0.0671241900289,0.0384148917423,upper,suction
455,0.0672439043746,0.0380429526335,upper,suction
456,0.0673634866196,0.0376709711654,upper,suction
