cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
       288, 4.461590201E-02, 1.017820612E-01, 2.264464377E+05, 6.628471952E+02, 3.468742756E-01,-1.477052823E+05, 6.861942697E-04
       289, 4.434706271E-02, 1.024133936E-01, 2.257329936E+05, 6.632188940E+02, 3.477292557E-01,-1.469122767E+05, 6.861929895E-04
       290, 4.407658428E-02, 1.030440331E-01, 2.250712509E+05, 6.635783836E+02, 3.486892277E-01,-1.461938098E+05, 6.861916757E-04
       291, 4.380439222E-02, 1.036739275E-01, 2.244646062E+05, 6.639249976E+02, 3.494234208E-01,-1.455169418E+05, 6.861909132E-04
       292, 4.353041947E-02, 1.043030545E-01, 2.238807068E+05, 6.642558640E+02, 3.499065967E-01,-1.448366183E+05, 6.861913100E-04
       293, 4.325461388E-02, 1.049313694E-01, 2.232982054E+05, 6.645718734E+02, 3.502982049E-01,-1.441470759E+05, 6.861934977E-04
       294, 4.297689348E-02, 1.055588573E-01, 2.227112259E+05, 6.648753832E+02, 3.506860418E-01,-1.434541249E+05, 6.861981247E-04
       295, 4.269719496E-02, 1.061854661E-01, 2.221219675E+05, 6.651707776E+02, 3.512152143E-01,-1.428055889E+05, 6.862037335E-04
       296, 4.241540283E-02, 1.068111435E-01, 2.215541015E+05, 6.654605532E+02, 3.518679972E-01,-1.422181765E+05, 6.862062548E-04
       297, 4.213137925E-02, 1.074358076E-01, 2.210163167E+05, 6.657450985E+02, 3.523494449E-01,-1.416174143E+05, 6.862065482E-04
       298, 4.184498638E-02, 1.080593914E-01, 2.204823461E+05, 6.660252184E+02, 3.526814743E-01,-1.410069238E+05, 6.862063859E-04
       299, 4.155607522E-02, 1.086818129E-01, 2.199415100E+05, 6.663031653E+02, 3.531184460E-01,-1.404527876E+05, 6.862076530E-04
       300, 4.126451164E-02, 1.093029976E-01, 2.194037569E+05, 6.665770070E+02, 3.535563653E-01,-1.399130115E+05, 6.862123479E-04
       301, 4.097015038E-02, 1.099228710E-01, 2.188575278E+05, 6.668432994E+02, 3.538079034E-01,-1.392667658E+05, 6.862225814E-04
       302, 4.067284986E-02, 1.105413586E-01, 2.183087465E+05, 6.671044338E+02, 3.539940761E-01,-1.386345485E+05, 6.862405773E-04
       303, 4.037246853E-02, 1.111583784E-01, 2.177298790E+05, 6.673546777E+02, 3.537938404E-01,-1.379629023E+05, 6.862686414E-04
       304, 4.006884992E-02, 1.117738411E-01, 2.170359100E+05, 6.675929524E+02, 3.535117155E-01,-1.370904262E+05, 6.862992336E-04
       305, 3.976174444E-02, 1.123875976E-01, 2.163055420E+05, 6.678228829E+02, 3.531420705E-01,-1.362300387E+05, 6.863120551E-04
